candidate_id,database,search_string_id,title,authors,year,venue,doi,url,abstract_available,full_text_available,candidate_relevance,workflow_stage_fit,grounding_relevance,conceptual_synthesis_relevance,empirical_evaluation,notes
arxiv:1804.02717v3,arXiv,D1_COMPOSITION_SWITCHING,DeepMimic: Example-Guided Deep Reinforcement Learning of Physics-Based Character Skills,"Peng, Xue Bin; Abbeel, Pieter; Levine, Sergey; van de Panne, Michiel",2018,arXiv,10.48550/arXiv.1804.02717,https://arxiv.org/abs/1804.02717v3,yes,yes,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,candidate-only metadata; no screening or inclusion decision; discovery_lanes=phase;reference;recovery; provenance=discovery; administrative_note=none
arxiv:1905.09808v1,arXiv,D1_COMPOSITION_SWITCHING,MCP: Learning Composable Hierarchical Control with Multiplicative Compositional Policies,"Peng, Xue Bin; Chang, Michael; Zhang, Grace; Abbeel, Pieter; Levine, Sergey",2019,arXiv,10.48550/arXiv.1905.09808,https://arxiv.org/abs/1905.09808v1,yes,yes,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,candidate-only metadata; no screening or inclusion decision; discovery_lanes=composable_policy; provenance=discovery; administrative_note=none
arxiv:2104.02180v2,arXiv,D3_FEASIBILITY_ADMISSION,AMP: Adversarial Motion Priors for Stylized Physics-Based Character Control,"Peng, Xue Bin; Ma, Ze; Abbeel, Pieter; Levine, Sergey; Kanazawa, Angjoo",2021,arXiv,10.48550/arXiv.2104.02180,https://arxiv.org/abs/2104.02180v2,yes,yes,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,candidate-only metadata; no screening or inclusion decision; discovery_lanes=motion_prior; provenance=discovery; administrative_note=none
arxiv:2108.13264v4,arXiv,D0_LEGACY_SCOPE_SEED,Deep Reinforcement Learning at the Edge of the Statistical Precipice,"Agarwal, Rishabh; Schwarzer, Max; Castro, Pablo Samuel; Courville, Aaron; Bellemare, Marc G.",2021,arXiv,10.48550/arXiv.2108.13264,https://arxiv.org/abs/2108.13264v4,yes,yes,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,candidate-only metadata; no screening or inclusion decision; discovery_lanes=evaluation; provenance=legacy_snapshot; administrative_note=none
arxiv:2201.04439v1,arXiv,D2_PHASE_RECOVERY,Real-Time Style Modelling of Human Locomotion via Feature-Wise Transformations and Local Motion Phases,"Mason, Ian; Starke, Sebastian; Komura, Taku",2022,arXiv,10.48550/arXiv.2201.04439,https://arxiv.org/abs/2201.04439v1,yes,yes,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,candidate-only metadata; no screening or inclusion decision; discovery_lanes=local_phase; provenance=discovery; administrative_note=none
arxiv:2205.01906v2,arXiv,D1_COMPOSITION_SWITCHING,ASE: Large-Scale Reusable Adversarial Skill Embeddings for Physically Simulated Characters,"Peng, Xue Bin; Guo, Yunrong; Halper, Lina; Levine, Sergey; Fidler, Sanja",2022,arXiv,10.48550/arXiv.2205.01906,https://arxiv.org/abs/2205.01906v2,yes,yes,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,candidate-only metadata; no screening or inclusion decision; discovery_lanes=skill_embedding;composition; provenance=discovery; administrative_note=none
arxiv:2208.07363v3,arXiv,D3_FEASIBILITY_ADMISSION,MoCapAct: A Multi-Task Dataset for Simulated Humanoid Control,"Wagener, Nolan; Kolobov, Andrey; Frujeri, Felipe Vieira; Loynd, Ricky; Cheng, Ching-An; Hausknecht, Matthew",2022,arXiv,10.48550/arXiv.2208.07363,https://arxiv.org/abs/2208.07363v3,yes,yes,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,candidate-only metadata; no screening or inclusion decision; discovery_lanes=dataset;control; provenance=discovery; administrative_note=none
arxiv:2303.05711v2,arXiv,D0_LEGACY_SCOPE_SEED,Learning Multimodal Bipedal Locomotion and Implicit Transitions: A Versatile Policy Approach,"Krishna, Lokesh; Nguyen, Quan",2023,arXiv,10.48550/arXiv.2303.05711,https://arxiv.org/abs/2303.05711v2,yes,yes,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,candidate-only metadata; no screening or inclusion decision; discovery_lanes=composition;switching; provenance=legacy_snapshot; administrative_note=none
arxiv:2305.02195v1,arXiv,D1_COMPOSITION_SWITCHING,CALM: Conditional Adversarial Latent Models for Directable Virtual Characters,"Tessler, Chen; Kasten, Yoni; Guo, Yunrong; Mannor, Shie; Chechik, Gal; Peng, Xue Bin",2023,arXiv,10.48550/arXiv.2305.02195,https://arxiv.org/abs/2305.02195v1,yes,yes,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,candidate-only metadata; no screening or inclusion decision; discovery_lanes=latent_skill;composition; provenance=discovery; administrative_note=none
arxiv:2305.06456v3,arXiv,D1_COMPOSITION_SWITCHING,Perpetual Humanoid Control for Real-time Simulated Avatars,"Luo, Zhengyi; Cao, Jinkun; Winkler, Alexander; Kitani, Kris; Xu, Weipeng",2023,arXiv,10.48550/arXiv.2305.06456,https://arxiv.org/abs/2305.06456v3,yes,yes,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,candidate-only metadata; no screening or inclusion decision; discovery_lanes=tracking;recovery; provenance=discovery; administrative_note=none
