source_id,file_name,file_path,document_type,ingestion_status,citation_status,notes
arxiv:1804.02717v3,1804.02717v3.pdf,research/raw_sources/oracle_composition/1804.02717v3.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=4bd4cc353bd2dc19da99bb21a254cbfdb9840e49940ce69d484eb6d45bfa348f; exact bytes remain local and ignored by Git
arxiv:1905.09808v1,1905.09808v1.pdf,research/raw_sources/oracle_composition/1905.09808v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=9ad14dd02001a67395a15fa74d4421d12611e37d1793753e9da3d3a2fd755a4b; exact bytes remain local and ignored by Git
arxiv:2205.01906v2,2205.01906v2.pdf,research/raw_sources/oracle_composition/2205.01906v2.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=e4151dfddd0f79ef496092b58c10ef67b519e9a5be3b4d5b2067c575124050c7; exact bytes remain local and ignored by Git
arxiv:2303.05711v2,2303.05711v2.pdf,research/raw_sources/oracle_composition/2303.05711v2.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=2706df707af15cc3857935d2f8ba10fa24671fc9dda7b6e093766239ddc8b97b; exact bytes remain local and ignored by Git
arxiv:2305.02195v1,2305.02195v1.pdf,research/raw_sources/oracle_composition/2305.02195v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=913d4ccaceda14a2ca39f7e080e679d948225894f5721aed8d3115551d78d285; exact bytes remain local and ignored by Git
arxiv:2305.06456v3,2305.06456v3.pdf,research/raw_sources/oracle_composition/2305.06456v3.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=7032182d647e65d6c850a3b8e699fbcd3aa8b978fa8475e6227d029091ec8cda; exact bytes remain local and ignored by Git
arxiv:2309.11351v1,2309.11351v1.pdf,research/raw_sources/oracle_composition/2309.11351v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=75787e06fb585243b8a973224cc69e0849e8b7f4e9e07a026f4f5f2a98b1264e; exact bytes remain local and ignored by Git
arxiv:2310.04582v2,2310.04582v2.pdf,research/raw_sources/oracle_composition/2310.04582v2.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=cd435bb5c24db5ce04c4d05376903ec95fdf4c57d27b9e976d8d01360ba6649c; exact bytes remain local and ignored by Git
arxiv:2310.10198v3,2310.10198v3.pdf,research/raw_sources/oracle_composition/2310.10198v3.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=579f794563c8c905a7d643856cd133187d561881eb631de4fe96a35f52931663; exact bytes remain local and ignored by Git
arxiv:2403.04205v3,2403.04205v3.pdf,research/raw_sources/oracle_composition/2403.04205v3.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=df7a8741ba674775ca83bef52cbf6dc286fbe7fd64a7051380baa00228c3d5af; exact bytes remain local and ignored by Git
arxiv:2406.06005v2,2406.06005v2.pdf,research/raw_sources/oracle_composition/2406.06005v2.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=812ced4443bd525bbfbbfe5a0851745f7b8c10dd1e21c60f9cbb518aff695527; exact bytes remain local and ignored by Git
arxiv:2408.00776v2,2408.00776v2.pdf,research/raw_sources/oracle_composition/2408.00776v2.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=6ae40e9efc7e04f535aa28110385e8aca7db85a2d6acf8fc26b1b1be1a5de993; exact bytes remain local and ignored by Git
arxiv:2409.14393v1,2409.14393v1.pdf,research/raw_sources/oracle_composition/2409.14393v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=31e79502e14262b6c9cec33eb4531e4f2f611e9d277a7d243b6f61c5d714b37d; exact bytes remain local and ignored by Git
arxiv:2410.01030v3,2410.01030v3.pdf,research/raw_sources/oracle_composition/2410.01030v3.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=ce9020e4893ae7a224baa55fb4998b54071cba9567b4b1943eee074fe2a1e3fa; exact bytes remain local and ignored by Git
arxiv:2508.08241v4,2508.08241v4.pdf,research/raw_sources/oracle_composition/2508.08241v4.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=6219a2b66ccdab4233a1043439bceaaea3252dadbb037b470671584fc1487db1; exact bytes remain local and ignored by Git
arxiv:2509.22442v1,2509.22442v1.pdf,research/raw_sources/oracle_composition/2509.22442v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=035db2f594015cbc821b9e79253f933730686f13b658541c7bdbb3664c7e1a8f; exact bytes remain local and ignored by Git
arxiv:2510.02252v1,2510.02252v1.pdf,research/raw_sources/oracle_composition/2510.02252v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=cc910a8606c2de1d87c5f34a9e1753165f3cdbefe2b1d61f1bf608dbd419f0a5; exact bytes remain local and ignored by Git
arxiv:2510.14454v1,2510.14454v1.pdf,research/raw_sources/oracle_composition/2510.14454v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=3927bd963c1fc9cf5569df792440200292f24c2b85ab698eee6337555c4d0137; exact bytes remain local and ignored by Git
arxiv:2601.23080v1,2601.23080v1.pdf,research/raw_sources/oracle_composition/2601.23080v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=415f2c47b9bc120a3f6bf25a54d652175b42d48dccd1f066f0d36b48f913660c; exact bytes remain local and ignored by Git
arxiv:2602.13656v1,2602.13656v1.pdf,research/raw_sources/oracle_composition/2602.13656v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=461eec270a1e97a0cdf0b6e82c911d476b71612db3db3e7f5ee94c9957ead590; exact bytes remain local and ignored by Git
arxiv:2602.15827v2,2602.15827v2.pdf,research/raw_sources/oracle_composition/2602.15827v2.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=122ce94e51555ae81fb37ed72efabae8401e9cf2281e08e87229b416178c5a70; exact bytes remain local and ignored by Git
arxiv:2602.20375v1,2602.20375v1.pdf,research/raw_sources/oracle_composition/2602.20375v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=ce5e90e8144032f1e8f4d453de650cedbf7b8840626c32ca7ea35cb8a7d48ac5; exact bytes remain local and ignored by Git
arxiv:2603.09956v2,2603.09956v2.pdf,research/raw_sources/oracle_composition/2603.09956v2.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=e80ce641cef0fd7e124bd493b1ef75c9cbbe3e3ad3f49dd2c2ced87c13035ec5; exact bytes remain local and ignored by Git
arxiv:2603.22201v3,2603.22201v3.pdf,research/raw_sources/oracle_composition/2603.22201v3.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=12e8bbd8be8f2c90d2d09a5c25e377d36b3ec8b453d485e8cbded59929e0e18d; exact bytes remain local and ignored by Git
arxiv:2603.27756v2,2603.27756v2.pdf,research/raw_sources/oracle_composition/2603.27756v2.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=e2c970581aa1d1dc2c923a4e1e5f8ef26b6d7d74f53cf998ff9866fe494b75bf; exact bytes remain local and ignored by Git
arxiv:2604.01064v1,2604.01064v1.pdf,research/raw_sources/oracle_composition/2604.01064v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=6144600895027bbd46151926e25e9741560a0ec93bec22efce7a059da5a546b9; exact bytes remain local and ignored by Git
arxiv:2604.14834v1,2604.14834v1.pdf,research/raw_sources/oracle_composition/2604.14834v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=d4916298d80c203c3722fc8e0051765ca4ea8bacc9ccef2a270d83dc6c1f62f6; exact bytes remain local and ignored by Git
arxiv:2604.21355v2,2604.21355v2.pdf,research/raw_sources/oracle_composition/2604.21355v2.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=a5343deb90eea3715b4b2be50ef0deea60ed2f31c941bdac0c9595eb89fa645f; exact bytes remain local and ignored by Git
arxiv:2604.22911v1,2604.22911v1.pdf,research/raw_sources/oracle_composition/2604.22911v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=d764325e4f77518e2089786c64805046a843eb9c793af3b64c65c4fbff6436b6; exact bytes remain local and ignored by Git
arxiv:2606.03476v1,2606.03476v1.pdf,research/raw_sources/oracle_composition/2606.03476v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=aa1aa1c82cb714fd0f615e1135711023f7feb3f7ea22628e1dd4440f5469f19a; exact bytes remain local and ignored by Git
arxiv:2606.12814v1,2606.12814v1.pdf,research/raw_sources/oracle_composition/2606.12814v1.pdf,version-pinned primary-paper PDF,registered_not_screened,not_citable_until_screened_and_extracted,sha256=2d75b050acf28061559c42e65ad4076aa2912851df03f3c9e6f9e5467b16eb88; exact bytes remain local and ignored by Git
